FIPS,County Name,A_MEDIAN
34033,"Salem, NJ",40890
34005,"Burlington, NJ",37600
34007,"Camden, NJ",37600
34015,"Gloucester, NJ",37600
34013,"Essex, NJ",42930
34019,"Hunterdon, NJ",42930
34027,"Morris, NJ",42930
34035,"Somerset, NJ",42930
34037,"Sussex, NJ",42930
34039,"Union, NJ",42930
34003,"Bergen, NJ",45200
34017,"Hudson, NJ",45200
34023,"Middlesex, NJ",45200
34025,"Monmouth, NJ",45200
34029,"Ocean, NJ",45200
34031,"Passaic, NJ",45200
34001,"Atlantic, NJ",32630
34009,"Cape May, NJ",30410
34021,"Mercer, NJ",50300
34011,"Cumberland, NJ",35730
34041,"Warren, NJ",34970
